,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,Cairns,-16.9167,145.7667,88.07,65,40,12.66,AU,1658377515
359,Pala,9.3642,14.9046,69.26,98,100,3.58,TD,1658377557
360,Orekhovo,45.1294,33.6318,70.52,74,35,4.81,UA,1658377558
361,Buckeye,33.3703,-112.5838,106.83,27,82,7.85,US,1658377558
362,Sitka,57.0531,-135.33,55.29,88,100,9.22,US,1658377559
363,Meulaboh,4.1363,96.1285,84.27,62,100,2.33,ID,1658376974
364,Huangcun,30.0145,118.4037,90.19,63,93,8.86,CN,1658377560
365,Narsaq,60.9167,-46.05,46.62,95,64,4.07,GL,1658377560
366,Labuan,5.2767,115.2417,88.16,70,20,6.91,MY,1658377561
367,Taoudenni,22.6783,-3.9836,90.91,38,86,14.97,ML,1658377561
368,Port Perry,44.1068,-78.9444,75.52,92,52,8.68,CA,1658377562
369,Bereket,39.2446,55.5154,87.08,53,0,10.38,TM,1658377386
370,Kizhinga,51.8462,109.9097,75.52,36,65,4.32,RU,1658377562
371,South Kazakhstan Region,43.0,68.0,101.89,11,0,18.34,KZ,1658377562
372,Manacapuru,-3.2997,-60.6206,74.73,91,91,3.91,BR,1658377563
373,High Prairie,55.4334,-116.4858,61.05,64,78,4.59,CA,1658377563
374,Deer Lake,49.1667,-57.4316,60.66,88,100,12.66,CA,1658377564
375,Revelstoke,50.9832,-118.2023,71.62,64,0,3.44,CA,1658377564
376,Kolpashevo,58.3131,82.9089,68.85,55,95,4.45,RU,1658377565
377,Aykhal,66.0,111.5,53.78,75,100,5.21,RU,1658377565
378,Hambantota,6.1241,81.1185,86.34,74,20,5.75,LK,1658377566
379,Bulgan,48.8125,103.5347,52.63,93,100,4.7,MN,1658377566
380,Berlevåg,70.8578,29.0864,60.8,82,75,8.05,NO,1658377567
381,Iquique,-20.2208,-70.1431,59.04,75,83,0.94,CL,1658377340
382,Gorodovikovsk,46.0878,41.9335,70.03,48,0,11.83,RU,1658377568
383,Holeby,54.7115,11.4642,67.05,87,59,4.18,DK,1658377569
384,Outjo,-20.1167,16.15,50.43,42,0,8.12,NA,1658377569
385,Kaliua,-5.0606,31.7936,61.36,63,2,6.93,TZ,1658377569
386,Masuguru,-11.3667,38.4167,63.09,92,0,1.59,TZ,1658377570
387,Kalianget,-7.05,113.9333,83.07,63,15,10.98,ID,1658377571
388,Khanpur,28.6453,70.6567,91.36,60,27,17.69,PK,1658377572
389,Lagoa,39.05,-27.9833,70.75,84,10,5.5,PT,1658377572
390,Nouadhibou,20.931,-17.0347,67.62,96,1,13.44,MR,1658377573
391,Grajewo,53.6473,22.4554,60.37,86,0,1.36,PL,1658377573
392,Ust-Nera,64.5667,143.2,70.54,58,100,7.9,RU,1658377574
393,San Carlos,9.6612,-68.5827,71.89,98,77,2.01,VE,1658377574
394,Road Town,18.4167,-64.6167,80.69,81,3,22.17,VG,1658377575
395,Departamento de Maldonado,-34.6667,-54.9167,56.59,96,48,8.34,UY,1658377575
396,Waipawa,-41.4122,175.5153,43.83,93,100,27.94,NZ,1658377576
397,Erenhot,43.6475,111.9767,90.81,18,3,7.92,CN,1658377577
398,Mariental,-24.6333,17.9667,50.43,43,0,5.73,NA,1658377577
399,Mathura,27.5,77.6833,86.41,67,98,4.74,IN,1658377566
400,Bitung,1.4451,125.1824,90.45,70,45,10.31,ID,1658377578
401,Bandrele,-12.9067,45.1914,67.75,100,0,3.44,YT,1658377578
402,Gorey,52.6747,-6.2925,51.85,85,61,5.86,IE,1658377579
403,San Lorenzo,-25.3333,-57.5333,72.54,64,0,6.91,PY,1658377579
404,Sioux Lookout,50.1001,-91.917,64.47,94,40,2.3,CA,1658377580
405,Ipixuna,-1.7625,-48.8043,73.13,95,70,3.8,BR,1658377580
406,Nouakchott,18.0858,-15.9785,76.93,80,100,14.45,MR,1658377548
407,Salym,60.0625,71.4789,70.25,50,83,5.44,RU,1658377581
408,Kenitra,34.261,-6.5802,66.96,82,97,2.33,MA,1658377582
409,Kokopo,-4.352,152.2633,84.97,63,99,8.12,PG,1658377583
410,Talnakh,69.4865,88.3972,57.4,68,100,11.12,RU,1658377486
411,Poum,-20.2333,164.0167,77.7,81,42,20.92,NC,1658377584
412,Mata,40.683,-7.4592,69.76,43,0,4.72,PT,1658377584
413,Hay River,60.8156,-115.7999,60.78,82,56,4.61,CA,1658377584
414,Natal,-5.795,-35.2094,75.42,94,75,9.22,BR,1658377449
415,Rochester,43.1548,-77.6156,84.07,60,20,14.97,US,1658376900
416,Bīkāpur,26.6,82.1333,88.47,64,100,10.25,IN,1658377585
417,Kavieng,-2.5744,150.7967,83.12,74,98,9.86,PG,1658377586
418,Solikamsk,59.6196,56.7729,61.34,73,61,5.23,RU,1658377586
419,Mentor,41.6662,-81.3395,78.46,83,75,8.05,US,1658377587
420,City of San Pedro,14.35,121.0167,84.31,77,75,2.3,PH,1658377588
421,Hīt,33.6416,42.8251,91.33,24,0,18.16,IQ,1658377589
422,Yuli,9.6989,10.2744,70.99,92,99,0.74,NG,1658377589
423,Malinyi,-8.9333,36.1333,63.41,84,70,0.6,TZ,1658377590
424,Faya,18.3851,42.4509,66.31,53,97,5.35,SA,1658377591
425,Flinders,-34.5833,150.8552,61.18,76,91,7.0,AU,1658377591
426,Bowen,-20.0167,148.2333,70.63,73,74,12.53,AU,1658377592
427,Katherine,-14.4667,132.2667,84.52,21,55,12.66,AU,1658377592
428,Ambon City,-3.6954,128.1814,80.74,78,40,5.75,ID,1658377593
429,Chanika,-5.4167,38.0167,59.27,99,61,3.29,TZ,1658377594
430,Biak,-0.9131,122.8766,81.16,77,33,3.83,ID,1658377595
431,Omboué,-1.5746,9.2618,71.69,87,100,6.69,GA,1658377595
432,Portland,45.5234,-122.6762,82.35,54,20,8.05,US,1658377524
433,Zinder,13.8072,8.9881,78.51,60,100,5.86,NE,1658377596
434,Lobito,-12.3481,13.5456,66.11,89,10,4.09,AO,1658377597
435,Gladstone,-23.85,151.25,60.73,94,100,26.46,AU,1658377597
436,Stokmarknes,68.5646,14.9108,55.38,88,75,11.5,NO,1658377598
437,Liverpool,53.4106,-2.9779,60.75,80,75,13.8,GB,1658377355
438,Vitim,59.4511,112.5578,68.31,65,100,5.59,RU,1658377599
439,Tasiilaq,65.6145,-37.6368,35.76,79,100,5.7,GL,1658377600
440,Marzuq,14.4,46.4667,75.27,59,95,7.38,YE,1658377600
441,Bauchi,10.5,10.0,68.81,93,100,2.64,NG,1658377600
442,Jiazi,22.8779,116.067,88.12,68,11,5.77,CN,1658377601
443,Pachino,36.7186,15.0907,78.06,69,0,4.09,IT,1658377601
444,Makassar,-5.14,119.4221,89.65,66,20,9.22,ID,1658377602
445,Oriximiná,-1.7656,-55.8661,72.95,95,84,2.24,BR,1658377603
446,Puerto Rondón,6.2805,-71.1,72.57,96,83,4.25,CO,1658377604
447,Devgarh,25.5333,73.9,79.9,77,100,15.1,IN,1658377605
448,Dwārka,22.2394,68.9678,82.56,82,99,21.9,IN,1658377606
449,Luga,58.7372,29.8453,62.44,75,35,8.05,RU,1658377607
450,New Ulm,44.3125,-94.4605,76.42,77,0,5.75,US,1658377607
451,Tilichiki,60.4667,166.1,65.41,38,7,9.31,RU,1658377608
452,Kütahya,39.4242,29.9833,55.33,57,0,3.02,TR,1658377608
453,Maniitsoq,65.4167,-52.9,46.4,95,100,9.57,GL,1658377610
454,Dodola,6.9833,39.1833,52.84,92,100,1.54,ET,1658377611
455,Dongfeng,42.6403,125.5118,67.51,92,100,2.73,CN,1658377611
456,Tabas,33.5959,56.9244,92.17,13,0,0.51,IR,1658377612
457,Price,39.5994,-110.8107,81.12,24,0,6.91,US,1658377613
458,Enshi,30.3,109.4833,74.19,97,100,1.3,CN,1658377613
459,Palmer,42.1584,-72.3287,79.97,77,0,4.88,US,1658377614
460,Shelburne,44.0787,-80.2041,68.45,83,0,11.12,CA,1658377615
461,Mbandaka,0.0487,18.2603,68.18,97,41,0.11,CD,1658377616
462,Arrondissement de Clermont,49.5,2.4167,64.71,97,33,6.78,FR,1658377617
463,The Valley,18.217,-63.0578,81.82,82,6,22.19,AI,1658377617
464,Bilibino,68.0546,166.4372,56.35,33,32,9.89,RU,1658377614
465,Adrar,20.5022,-10.0711,87.96,32,75,8.01,MR,1658377618
466,Magadan,59.5667,150.8,78.53,79,71,4.54,RU,1658377618
467,Willowmore,-33.2926,23.4895,40.24,92,0,2.82,ZA,1658377619
468,Fort Nelson,58.8053,-122.7002,67.59,49,75,3.44,CA,1658377619
469,Nerchinskiy Zavod,51.3088,119.61,80.51,57,69,5.21,RU,1658377620
470,Port Macquarie,-31.4333,152.9167,61.9,82,75,13.8,AU,1658377620
471,Babanka,48.7097,30.4483,58.5,65,0,10.09,UA,1658377621
472,Evensk,61.95,159.2333,68.65,37,18,1.68,RU,1658377621
473,De Aar,-30.6497,24.0123,46.4,66,2,2.75,ZA,1658377621
474,Gouré,13.9835,10.2704,73.02,74,89,5.82,NE,1658377622
475,Bhatkal,13.9667,74.5667,80.31,83,66,8.97,IN,1658377622
476,Pevek,69.7008,170.3133,32.25,93,98,16.78,RU,1658377623
477,Turaif,31.6725,38.6637,77.25,36,0,13.8,SA,1658377623
478,Mizque,-17.941,-65.3402,57.22,71,47,2.48,BO,1658377624
479,Homer,59.6425,-151.5483,57.09,67,0,17.0,US,1658377624
480,Anito,12.4497,125.2886,87.53,65,100,7.36,PH,1658377625
481,Shache,38.4167,77.2406,87.94,14,0,4.32,CN,1658377625
482,‘Ewa Beach,21.3156,-158.0072,84.15,57,0,17.27,US,1658377626
483,Ladybrand,-29.1945,27.4574,42.71,66,81,2.59,ZA,1658377627
484,Maragogi,-9.0122,-35.2225,73.96,89,100,10.47,BR,1658377627
485,Mahanoro,-19.9,48.8,66.54,80,43,6.2,MG,1658377627
486,Erzin,36.9559,36.2,77.74,75,0,3.49,TR,1658377628
487,Bereda,43.2686,-7.5406,62.58,100,98,6.2,ES,1658377628
488,Powell River,49.8496,-124.5361,73.67,73,0,2.35,CA,1658377629
489,Shingū,33.7333,135.9833,86.32,59,75,5.79,JP,1658377629
490,Poronaysk,49.2167,143.1167,59.7,86,100,7.27,RU,1658377629
491,Istmina,5.1605,-76.684,73.53,98,100,2.15,CO,1658377630
492,Santa Isabel,-23.3156,-46.2214,61.9,98,58,2.35,BR,1658377630
493,Nóvita,4.9551,-76.6053,74.75,98,100,1.79,CO,1658377630
494,Yangi Marg`ilon,40.4272,71.7189,92.12,19,0,4.61,UZ,1658377631
495,Pontes e Lacerda,-15.2261,-59.3353,66.97,45,5,2.06,BR,1658377629
496,Broome,42.2506,-75.833,79.86,70,0,9.22,US,1658377479
497,Hachinohe,40.5,141.5,75.24,87,82,2.82,JP,1658377631
498,Jinchang,38.4953,102.1739,61.03,57,100,14.03,CN,1658377632
499,Kudahuvadhoo,2.6708,72.8944,81.05,74,100,10.94,MV,1658377632
500,Gaza,31.5,34.4667,73.89,68,0,6.98,PS,1658377632
501,Porto-Novo,6.4965,2.6036,76.82,79,100,6.15,BJ,1658377633
502,Bubaque,11.2833,-15.8333,77.45,86,100,12.35,GW,1658377633
503,Big Bend,-26.8167,31.9333,60.89,94,59,1.14,SZ,1658377378
504,Prado,-17.3411,-39.2208,68.61,85,3,6.06,BR,1658377633
505,Yalta,44.5,34.1667,72.46,63,6,7.67,UA,1658377634
506,Tual,-5.6667,132.75,78.8,75,87,20.85,ID,1658377634
507,Cascais,38.6979,-9.4215,67.46,74,4,20.0,PT,1658377602
508,Juneau,58.3019,-134.4197,53.22,96,100,12.66,US,1658377635
509,Tot'ma,59.9747,42.7642,56.7,89,71,5.59,RU,1658377635
510,Grand Junction,39.0639,-108.5507,83.28,41,0,3.44,US,1658377343
511,Fare,-16.7,-151.0167,77.11,73,9,11.97,PF,1658377636
512,San Borja,-14.8167,-66.85,71.15,69,55,1.32,BO,1658377636
513,Oskarshamn,57.2645,16.4484,64.33,74,11,4.99,SE,1658377636
514,Senno,59.5336,33.9167,64.26,93,47,7.63,RU,1658377637
515,Kloulklubed,7.0419,134.2556,84.7,71,62,2.28,PW,1658377637
516,Ganzhou,28.8184,115.4327,93.81,57,100,9.66,CN,1658377637
517,Adré,13.4667,22.2,73.71,74,27,4.38,TD,1658377637
518,Santa Barbara,34.7333,-120.0343,72.34,64,0,6.91,US,1658377483
519,Ilo,-17.6394,-71.3375,59.31,82,88,4.52,PE,1658377638
520,Mattru,7.6244,-11.8332,71.73,97,100,3.53,SL,1658377464
521,Bhīmunipatnam,17.8833,83.4333,89.11,63,100,7.38,IN,1658377638
522,Paita,-5.0892,-81.1144,62.42,85,30,11.01,PE,1658377639
523,Makkah al Mukarramah,21.4267,39.8261,82.69,63,47,6.13,SA,1658377372
524,Agapovka,53.2973,59.1348,67.21,61,2,7.18,RU,1658377639
525,Det Udom,14.906,105.0784,82.22,73,100,13.18,TH,1658377640
526,Mainit,9.535,125.5231,82.58,79,100,1.88,PH,1658377640
527,Kiunga,-6.1219,141.2906,76.44,95,97,0.45,PG,1658377640
528,Goderich,43.7501,-81.7165,71.91,83,5,8.05,CA,1658377641
529,Magistral'nyy,56.1725,107.4458,73.9,48,94,1.59,RU,1658377641
530,Taltal,-25.4,-70.4833,56.77,88,100,1.5,CL,1658377641
531,Imeni Babushkina,59.7573,43.1285,57.31,88,51,5.26,RU,1658377642
532,Kargopol',61.5071,38.9456,59.41,88,29,4.99,RU,1658377642
533,Maceió,-9.6658,-35.7353,76.44,83,75,5.75,BR,1658377594
534,Abu Samrah,35.3029,37.1841,75.25,61,0,19.69,SY,1658377642
535,Dutlwe,-23.9833,23.9,51.48,79,69,6.8,BW,1658377643
536,Dukat,62.55,155.55,50.5,45,100,7.81,RU,1658377643
537,Livingston,55.9029,-3.5226,56.26,82,75,5.75,GB,1658377644
538,Haines Junction,60.7522,-137.5108,52.3,61,73,6.4,CA,1658377456
539,Alekseyevka,50.6309,38.6903,55.02,93,65,13.82,RU,1658377644
540,Jardim,-21.4803,-56.1381,67.17,42,54,2.71,BR,1658377644
541,Manbij,36.5281,37.9549,75.76,58,0,18.77,SY,1658377645
542,Alenquer,-1.9417,-54.7383,72.82,94,69,4.27,BR,1658377645
543,Aloleng,16.1307,119.7824,88.95,65,100,4.76,PH,1658377645
544,Puerto Suárez,-18.95,-57.8,69.21,39,70,2.66,BO,1658377646
545,Sabzawār,36.2126,57.6819,81.68,21,0,11.5,IR,1658377646
546,Birao,10.2849,22.7882,69.73,95,52,3.51,CF,1658377633
547,Hetauda,27.4284,85.0322,83.55,90,100,1.88,NP,1658377646
548,Fuling,29.7022,107.3919,84.02,78,96,3.96,CN,1658377647
549,Bintulu,3.1667,113.0333,91.81,66,20,4.61,MY,1658377647
550,Synya,65.3718,58.0387,68.22,51,12,1.68,RU,1658377648
551,Watsa,3.0372,29.5355,61.43,98,69,1.95,CD,1658377648
552,Yerbogachën,61.2767,108.0108,71.49,49,50,7.76,RU,1658377648
553,Novikovo,51.1537,37.8879,56.05,88,80,13.24,RU,1658377649
554,Trelew,-43.249,-65.3051,40.8,42,0,24.74,AR,1658377649
555,Alexandria,31.2156,29.9553,76.96,69,0,11.5,EG,1658377650
556,Vila Velha,-20.3297,-40.2925,66.94,93,0,3.44,BR,1658377650
557,Qarchī Gak,37.04,66.7889,97.41,10,0,11.14,AF,1658377650
558,Esim,4.8699,-2.2405,72.25,75,14,6.46,GH,1658377651
559,Slave Lake,55.2834,-114.769,66.18,55,0,6.91,CA,1658377545
560,Ilebo,-4.3167,20.5833,70.2,76,16,0.87,CD,1658377651
561,Arari,-3.4536,-44.78,70.41,82,32,2.71,BR,1658377651
562,Villa Unión,23.2,-106.2333,86.92,79,40,5.75,MX,1658377652
563,Humaitá,-7.5061,-63.0208,73.04,56,6,0.92,BR,1658377652
564,Banjar,-8.19,114.9675,86.7,56,74,3.11,ID,1658377652
565,Bunia,1.5667,30.25,61.2,87,67,1.52,CD,1658377653
